episode,score,max_tile,time
469,1240,7,5.389639377593994
470,892,6,5.400015115737915
471,2396,8,5.419560194015503
472,1004,7,5.429721117019653
473,612,6,5.437638282775879
474,1092,7,5.448936223983765
475,1148,7,5.460755348205566
476,1144,7,5.472539186477661
477,876,6,5.482433080673218
478,1068,7,5.493581056594849
479,1460,7,5.507979154586792
480,1156,7,5.519959211349487
481,1732,7,5.535279273986816
482,1492,7,5.5495171546936035
483,416,5,5.556137323379517
484,1672,7,5.572502136230469
485,604,6,5.579941272735596
486,1204,7,5.591714143753052
487,1128,7,5.603431224822998
488,912,6,5.613827228546143
489,1336,7,5.626840114593506
490,2376,8,5.646300315856934
491,1372,7,5.6601362228393555
492,1396,7,5.674107313156128
493,508,5,5.681479215621948
494,2964,8,5.705223321914673
495,668,6,5.7134692668914795
496,1408,7,5.727288246154785
497,968,6,5.738418340682983
498,1368,7,5.752176284790039
499,1708,7,5.767475366592407
500,1016,7,5.777942180633545
