episode,score,max_tile,time
69,1924,7,3.091660976409912
70,3220,8,3.1398258209228516
71,1792,7,3.1735079288482666
72,3212,8,3.2209577560424805
73,1720,7,3.252530813217163
74,2760,7,3.298102855682373
75,2448,8,3.336121082305908
76,3172,8,3.3839259147644043
77,3268,8,3.431485891342163
78,3492,8,3.4831080436706543
79,3232,8,3.532315731048584
80,1016,6,3.553926706314087
81,3548,8,3.6075990200042725
82,2472,7,3.6493427753448486
83,2948,8,3.693537950515747
84,3464,8,3.745954990386963
85,3232,8,3.795177936553955
86,5028,9,3.8589768409729004
87,4960,9,3.922731876373291
88,1940,7,3.957145929336548
89,3784,8,4.013880968093872
90,5512,9,4.08595085144043
91,3076,8,4.134975910186768
92,2656,7,4.181041717529297
93,3780,8,4.23837685585022
94,1764,7,4.272800922393799
95,3252,8,4.32266902923584
96,3616,8,4.379090785980225
97,980,6,4.400818824768066
98,636,6,4.416891098022461
99,2524,8,4.457535982131958
100,6164,9,4.539515733718872
101,1740,7,4.57228684425354
102,1516,7,4.600615739822388
103,892,6,4.621243000030518
104,3684,8,4.676743745803833
105,3484,8,4.729467868804932
106,1948,7,4.764318943023682
107,3396,8,4.814384698867798
108,2652,8,4.854998826980591
109,1528,7,4.88297176361084
110,1912,7,4.915430784225464
111,3396,8,4.966610908508301
112,3580,8,5.022877931594849
113,3524,8,5.075966835021973
114,6660,9,5.159727096557617
115,1464,7,5.187886953353882
116,2680,8,5.229553699493408
117,2700,8,5.272161960601807
118,1760,7,5.304283857345581
119,4580,8,5.370356798171997
120,2496,8,5.40893292427063
121,3540,8,5.462608814239502
122,6088,9,5.539573907852173
123,3300,8,5.588636875152588
124,3972,8,5.647316932678223
125,3868,8,5.704002857208252
126,1380,7,5.730177879333496
127,1344,7,5.757935047149658
128,1492,7,5.828679800033569
129,1496,7,5.856963872909546
130,1516,7,5.88661789894104
131,1548,7,5.916127920150757
132,1968,7,5.9518818855285645
133,2460,8,5.99320387840271
134,1904,7,6.025593042373657
135,2836,8,6.0723607540130615
136,1736,7,6.103580713272095
137,3040,8,6.150652885437012
138,3976,8,6.211267948150635
139,3408,8,6.264192819595337
140,2536,8,6.303350925445557
141,3124,8,6.3511879444122314
142,1752,7,6.3827149868011475
143,2036,7,6.416464805603027
144,2932,8,6.4595277309417725
145,4016,8,6.5188820362091064
146,1816,7,6.552810907363892
147,1668,7,6.583175897598267
148,1192,7,6.60647177696228
149,1976,7,6.642621755599976
150,3132,8,6.688029766082764
151,3728,8,6.740989923477173
152,3296,8,6.789425849914551
153,1800,7,6.8219640254974365
154,1544,7,6.851057767868042
155,3216,8,6.902216911315918
156,1252,7,6.926576137542725
157,1096,6,6.950624942779541
158,2768,7,6.996553897857666
159,3684,8,7.051718711853027
160,1752,7,7.08350396156311
161,3448,8,7.1319568157196045
162,3480,8,7.183619022369385
163,3256,8,7.23366904258728
164,3496,8,7.285979747772217
165,3440,8,7.338704824447632
166,1616,7,7.369751930236816
167,6216,9,7.448771953582764
168,2320,7,7.487015724182129
169,4724,8,7.552280902862549
170,1472,7,7.5794548988342285
171,1588,7,7.608636856079102
172,1820,7,7.6421287059783936
173,2276,7,7.680283784866333
174,2736,8,7.722649097442627
175,3288,8,7.771334886550903
176,2640,8,7.812835931777954
177,3204,8,7.861552000045776
178,2524,8,7.900842905044556
179,1488,7,7.9285969734191895
180,1480,7,7.9564008712768555
181,3212,8,8.005461931228638
182,1744,7,8.036712884902954
183,2380,7,8.078121900558472
184,2716,8,8.120926856994629
185,1612,7,8.150043725967407
186,860,6,8.168154001235962
187,6132,9,8.245556831359863
188,3340,8,8.296229124069214
189,3116,8,8.342834949493408
190,860,6,8.362998962402344
191,1444,7,8.390068769454956
192,1460,7,8.417784929275513
193,1296,7,8.442605018615723
194,2404,8,8.479948043823242
195,3772,8,8.536061763763428
196,1880,7,8.568356037139893
197,2460,8,8.60549283027649
198,1752,7,8.648669958114624
199,3668,8,8.702209949493408
200,3056,8,8.749096870422363
201,2140,7,8.787245035171509
202,2080,7,8.823217868804932
203,1528,7,8.85254192352295
204,1236,6,8.87907075881958
205,2200,7,8.918436050415039
206,3660,8,8.972659826278687
207,3504,8,9.02352499961853
208,2548,8,9.063573837280273
209,2412,8,9.100998878479004
210,2904,8,9.14453911781311
211,2736,8,9.187333106994629
212,7268,9,9.279156923294067
213,2284,7,9.320237874984741
214,1968,7,9.356782913208008
215,2280,7,9.39483380317688
216,788,6,9.413460969924927
217,3216,8,9.461428880691528
218,4164,8,9.523050785064697
219,4568,8,9.588513851165771
220,2724,8,9.630295991897583
221,3360,8,9.68141484260559
222,2792,8,9.72464394569397
223,700,6,9.740429878234863
224,3304,8,9.791103839874268
225,2876,8,9.835909843444824
226,712,6,9.8523588180542
227,1616,7,9.882916927337646
228,1796,7,9.916489839553833
229,3424,8,9.967428922653198
230,5664,9,10.039698839187622
231,3056,8,10.084412813186646
232,1208,7,10.108369827270508
233,2812,8,10.151448011398315
234,1492,7,10.179446935653687
235,2008,7,10.215616941452026
236,1508,7,10.243232011795044
237,1856,7,10.275758981704712
238,1464,7,10.303223848342896
239,1684,7,10.333781957626343
240,2788,8,10.377110004425049
241,3072,8,10.42363691329956
242,2448,8,10.460158824920654
243,6240,9,10.540441036224365
244,3480,8,10.591737985610962
245,3668,8,10.645990133285522
246,1632,7,10.676349878311157
247,3528,8,10.727351903915405
248,3308,8,10.776639938354492
249,1180,7,10.799522876739502
250,4036,8,10.858166933059692
251,2140,7,10.897169828414917
252,2564,8,10.938325881958008
253,2040,7,10.973787069320679
254,1816,7,11.006704807281494
255,1100,6,11.030282974243164
