episode,score,steps,avg1000,policy_loss,value_loss,entropy,timestamp
1,2884,231,2884.0,0.0,0.0,0.0,1763885357
2,1316,135,2100.0,0.0,0.0,0.0,1763885357
3,1660,167,1953.3333333333333,0.0,0.0,0.0,1763885358
4,564,79,1606.0,0.0,0.0,0.0,1763885358
5,1120,133,1508.8,0.0,0.0,0.0,1763885358
6,592,82,1356.0,0.0,0.0,0.0,1763885358
7,244,47,1197.142857142857,0.0,0.0,0.0,1763885359
8,1308,133,1211.0,0.0,0.0,0.0,1763885359
9,1056,114,1193.7777777777778,0.0,0.0,0.0,1763885359
10,1412,147,1215.6,0.0,0.0,0.0,1763885360
11,1428,147,1234.909090909091,0.0,0.0,0.0,1763885360
12,1588,159,1264.3333333333333,0.0,0.0,0.0,1763885360
13,660,90,1217.8461538461538,0.0,0.0,0.0,1763885361
14,1340,138,1226.5714285714287,0.0,0.0,0.0,1763885361
15,1040,110,1214.1333333333334,0.0,0.0,0.0,1763885361
16,1304,132,1219.75,0.0,0.0,0.0,1763885362
17,548,80,1180.235294117647,0.0,0.0,0.0,1763885363
18,952,99,1167.5555555555557,0.0,0.0,0.0,1763885364
19,1272,135,1173.0526315789473,0.0,0.0,0.0,1763885364
20,1108,117,1169.8,0.0,0.0,0.0,1763885364
21,1616,162,1191.047619047619,0.0,0.0,0.0,1763885365
22,356,61,1153.090909090909,0.0,0.0,0.0,1763885365
23,1276,130,1158.4347826086957,0.0,0.0,0.0,1763885365
24,1776,163,1184.1666666666667,0.0,0.0,0.0,1763885366
25,2804,230,1248.96,0.0,0.0,0.0,1763885366
26,1376,143,1253.8461538461538,0.0,0.0,0.0,1763885367
27,1264,137,1254.2222222222222,0.0,0.0,0.0,1763885367
28,272,51,1219.142857142857,0.0,0.0,0.0,1763885367
29,1172,130,1217.5172413793102,0.0,0.0,0.0,1763885368
30,2492,207,1260.0,0.0,0.0,0.0,1763885368
31,1032,109,1252.6451612903227,0.0,0.0,0.0,1763885369
32,964,107,1243.625,0.0,0.0,0.0,1763885370
33,304,55,1215.1515151515152,0.0,0.0,0.0,1763885370
34,2436,204,1251.0588235294117,0.0,0.0,0.0,1763885371
35,1116,118,1247.2,0.0,0.0,0.0,1763885371
36,1308,139,1248.888888888889,0.0,0.0,0.0,1763885371
37,920,114,1240.0,0.0,0.0,0.0,1763885372
38,1160,127,1237.8947368421052,0.0,0.0,0.0,1763885372
39,576,80,1220.923076923077,0.0,0.0,0.0,1763885372
40,364,64,1199.5,0.0,0.0,0.0,1763885372
41,716,94,1187.7073170731708,0.0,0.0,0.0,1763885373
42,1032,109,1184.0,0.0,0.0,0.0,1763885373
43,1372,144,1188.3720930232557,0.0,0.0,0.0,1763885373
44,332,57,1168.909090909091,0.0,0.0,0.0,1763885373
45,768,94,1160.0,0.0,0.0,0.0,1763885374
46,640,87,1148.695652173913,0.0,0.0,0.0,1763885374
47,1500,148,1156.1702127659576,0.0,0.0,0.0,1763885374
48,1300,134,1159.1666666666667,0.0,0.0,0.0,1763885375
49,1552,151,1167.1836734693877,0.0,0.0,0.0,1763885375
50,2368,201,1191.2,0.0,0.0,0.0,1763885377
51,2588,217,1218.5882352941176,0.0,0.0,0.0,1763885377
52,1452,151,1223.076923076923,0.0,0.0,0.0,1763885378
53,1252,131,1223.622641509434,0.0,0.0,0.0,1763885378
54,1172,126,1222.6666666666667,0.0,0.0,0.0,1763885378
55,340,63,1206.6181818181817,0.0,0.0,0.0,1763885379
56,1052,114,1203.857142857143,0.0,0.0,0.0,1763885379
57,844,102,1197.5438596491229,0.0,0.0,0.0,1763885379
58,1208,128,1197.7241379310344,0.0,0.0,0.0,1763885379
59,1056,118,1195.322033898305,0.0,0.0,0.0,1763885380
60,648,84,1186.2,0.0,0.0,0.0,1763885380
61,2416,202,1206.360655737705,0.0,0.0,0.0,1763885381
62,1356,141,1208.774193548387,0.0,0.0,0.0,1763885381
63,644,85,1199.8095238095239,0.0,0.0,0.0,1763885381
64,1620,169,1206.375,0.0,0.0,0.0,1763885382
65,1168,126,1205.7846153846153,0.0,0.0,0.0,1763885382
66,1280,141,1206.909090909091,0.0,0.0,0.0,1763885383
67,1448,148,1210.5074626865671,0.0,0.0,0.0,1763885384
68,604,83,1201.5882352941176,0.0,0.0,0.0,1763885384
69,1040,112,1199.2463768115942,0.0,0.0,0.0,1763885384
70,1012,109,1196.5714285714287,0.0,0.0,0.0,1763885385
71,1336,137,1198.5352112676057,0.0,0.0,0.0,1763885385
72,476,70,1188.5,0.0,0.0,0.0,1763885385
73,1024,121,1186.2465753424658,0.0,0.0,0.0,1763885386
74,1236,128,1186.918918918919,0.0,0.0,0.0,1763885386
75,752,100,1181.12,0.0,0.0,0.0,1763885386
76,1140,123,1180.578947368421,0.0,0.0,0.0,1763885387
77,1600,161,1186.025974025974,0.0,0.0,0.0,1763885387
78,780,104,1180.820512820513,0.0,0.0,0.0,1763885387
79,1004,106,1178.5822784810127,0.0,0.0,0.0,1763885388
80,744,100,1173.15,0.0,0.0,0.0,1763885388
81,1436,149,1176.3950617283951,0.0,0.0,0.0,1763885388
82,1364,136,1178.6829268292684,0.0,0.0,0.0,1763885389
83,508,67,1170.6024096385543,0.0,0.0,0.0,1763885390
84,728,96,1165.3333333333333,0.0,0.0,0.0,1763885390
85,380,60,1156.0941176470587,0.0,0.0,0.0,1763885390
86,1420,145,1159.1627906976744,0.0,0.0,0.0,1763885390
87,340,59,1149.7471264367816,0.0,0.0,0.0,1763885391
88,1244,124,1150.8181818181818,0.0,0.0,0.0,1763885391
89,1076,112,1149.9775280898875,0.0,0.0,0.0,1763885391
90,968,116,1147.9555555555555,0.0,0.0,0.0,1763885392
91,1416,145,1150.901098901099,0.0,0.0,0.0,1763885392
92,740,98,1146.4347826086957,0.0,0.0,0.0,1763885392
93,1356,140,1148.6881720430108,0.0,0.0,0.0,1763885393
94,688,89,1143.787234042553,0.0,0.0,0.0,1763885393
95,1184,129,1144.2105263157894,0.0,0.0,0.0,1763885393
96,724,96,1139.8333333333333,0.0,0.0,0.0,1763885393
97,760,96,1135.9175257731958,0.0,0.0,0.0,1763885394
98,920,96,1133.7142857142858,0.0,0.0,0.0,1763885394
99,2288,187,1145.3737373737374,0.0,0.0,0.0,1763885395
100,2372,203,1157.64,0.0,0.0,0.0,1763885395
101,1064,119,1156.7128712871288,0.0,0.0,0.0,1763885396
102,776,91,1152.9803921568628,0.0,0.0,0.0,1763885397
103,684,90,1148.4271844660195,0.0,0.0,0.0,1763885397
104,1520,146,1152.0,0.0,0.0,0.0,1763885397
105,2332,197,1163.2380952380952,0.0,0.0,0.0,1763885398
106,488,76,1156.867924528302,0.0,0.0,0.0,1763885398
107,728,89,1152.8598130841121,0.0,0.0,0.0,1763885398
108,644,88,1148.148148148148,0.0,0.0,0.0,1763885398
109,1804,171,1154.165137614679,0.0,0.0,0.0,1763885399
110,1800,166,1160.0363636363636,0.0,0.0,0.0,1763885399
111,404,64,1153.2252252252251,0.0,0.0,0.0,1763885400
112,676,92,1148.9642857142858,0.0,0.0,0.0,1763885400
113,244,46,1140.9557522123894,0.0,0.0,0.0,1763885400
114,696,93,1137.0526315789473,0.0,0.0,0.0,1763885400
115,692,94,1133.182608695652,0.0,0.0,0.0,1763885400
116,1420,151,1135.655172413793,0.0,0.0,0.0,1763885401
117,1056,114,1134.974358974359,0.0,0.0,0.0,1763885401
118,1268,138,1136.1016949152543,0.0,0.0,0.0,1763885402
119,996,119,1134.9243697478992,0.0,0.0,0.0,1763885403
